id,lesson_name,price_duration,comment,timestamp,added_by
1,Бесплатное пробное занятие,30 минут,Уже на первом занятии Вы познакомитесь с инструментом и сможете сыграть простой ритм,2025-05-26 12:54:28.000000,Дмитрий
2,Групповое занятие,800 рублей,Групповое практическое занятие продолжительностью<br>1 час 25 минут,2025-05-27 11:31:06.000000,Дмитрий
3,Индивидуальное занятие,1200 рублей,Индивидуальное практическое занятие  продолжительностью 55 минут,2025-05-27 11:31:33.000000,Дмитрий
4,Абонементы на индивидуальные занятия,,4 занятия на 1 месяц – 4400<br>8 занятий на 2 месяца - 8000,2025-05-27 11:31:58.000000,Дмитрий
